,wl,mean,1,2,3,meta,std
41,6678.666015625,0.00059967,0.000601,0.0006,0.000598,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,1.5275115e-06
42,6720.582702636719,0.00062867,0.00063,0.00063,0.000626,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,2.3094187e-06
43,6762.4993896484375,0.00066,0.000658,0.000661,0.000661,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,1.732064e-06
44,6804.416076660156,0.00069633,0.000695,0.000696,0.000698,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,1.5275369e-06
45,6846.332763671875,0.000736,0.000738,0.000738,0.000732,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,3.4640943e-06
46,6888.249450683594,0.00078567,0.000782,0.000788,0.000787,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,3.2145415e-06
47,6930.1661376953125,0.000835,0.000837,0.000832,0.000836,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,2.6457715e-06
48,6972.082824707031,0.00089033,0.000891,0.000888,0.000892,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,2.0816492e-06
49,7013.99951171875,0.000955,0.000956,0.000956,0.000953,BB_RAD_300ms_700V_10p5tac_303Hz__6mil7mil_241024,1.732064e-06
50,7013.99951171875,0.00095467,0.000955,0.000956,0.000953,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,1.5275369e-06
51,7055.9578857421875,0.00101267,0.00101,0.001011,0.001017,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,3.785901e-06
52,7097.916259765625,0.00107933,0.001082,0.001078,0.001078,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.3094187e-06
53,7139.8746337890625,0.001144,0.001142,0.001145,0.001145,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,1.732064e-06
54,7181.8330078125,0.00120967,0.001205,0.001208,0.001216,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,5.686219e-06
55,7223.7913818359375,0.00127767,0.001277,0.001278,0.001278,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,5.773547e-07
56,7265.749755859375,0.00134533,0.001347,0.001343,0.001346,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,2.081682e-06
57,7307.7081298828125,0.001416,0.001411,0.001416,0.001421,BB_RAD_300ms_700V_10p5tac_303Hz__7mil8mil_241024,4.99998e-06
