5907.27307841    0.00000200    0.00000300    0.00000300    0.00000000
5907.54538432    -0.00000100    -0.00000300    0.00000000    0.00000000
5907.81769023    -0.00000167    -0.00000500    -0.00000300    0.00000300
5908.08999614    -0.00000267    -0.00000500    -0.00000300    0.00000000
5908.36423329    -0.00000100    -0.00000300    0.00000000    0.00000000
5908.63653920    -0.00000167    -0.00000500    -0.00000300    0.00000300
5908.90884511    0.00000000    -0.00000300    0.00000300    0.00000000
5909.18115102    -0.00000200    -0.00000300    0.00000000    -0.00000300
5909.45538818    -0.00000200    -0.00000300    -0.00000300    0.00000000
5909.72769409    -0.00000100    -0.00000300    0.00000000    0.00000000
5910.00000000    -0.00000267    -0.00000500    -0.00000300    0.00000000
