 -5.7000	16
 -5.6950	16
 -5.6900	19
 -5.6850	26
 -5.6800	33
 -5.6750	48
 -5.6700	46
 -5.6650	60
 -5.6600	88
 -5.6550	109
 -5.6500	116
 -5.6450	159
 -5.6400	182
 -5.6350	251
 -5.6300	293
 -5.6250	401
 -5.6200	449
 -5.6150	587
 -5.6100	761
 -5.6050	1010
 -5.6000	1276
 -5.5950	1618
 -5.5900	2361
 -5.5850	3040
 -5.5800	4291
 -5.5750	6284
 -5.5700	8383
 -5.5650	11029
 -5.5600	13552
 -5.5550	17034
 -5.5500	21731
 -5.5450	25545
 -5.5400	28816
 -5.5350	29006
 -5.5300	25019
 -5.5250	19653
 -5.5200	15347
 -5.5150	12638
 -5.5100	10972
 -5.5050	9904
 -5.5000	8996
